id,name,change_name_to,region,city,address,latitude,longitude,courseType,holes,hole_count,is_public,membership_type,phone,website,difficulty,price_min,price_max,price_text,price_type,price_source,weekday_price_min,weekday_price_max,weekend_price_min,weekend_price_max,teescanner_used_search_term,teescanner_matched_title,candidate_region,candidate_subregion,teescanner_match_status,teescanner_review_action,teescanner_review_reason,suggested_change_name_to,needs_price_review,seo_aliases,search_keywords,tags,source,updatedAt
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체CC 비발디파크 MOUNTAIN,강원,홍천군,홍천군 서면 한치골길 264,37.6482244968436,127.685789397041,대중제,9,9,,대중제,1644-0063,http://www.sonofelicecc.com/vp,3.7,,,,,,,,,,소노펠리체 컨트리클럽 비발디파크 마운틴,,,,,manual_review,,,true,소노펠리체CC 비발디파크 MOUNTAIN|소노펠리체CC 비발디파크 MOUNTAINCC|소노펠리체CC 비발디파크 MOUNTAINGC|소노펠리체CC 비발디파크 MOUNTAIN컨트리클럽|소노펠리체CC 비발디파크 MOUNTAIN골프클럽|소노펠리체CC 비발디파크 MOUNTAIN골프장,소노펠리체CC 비발디파크 MOUNTAIN 소노펠리체CC 비발디파크 MOUNTAINCC 소노펠리체CC 비발디파크 MOUNTAINGC 소노펠리체CC 비발디파크 MOUNTAIN컨트리클럽 소노펠리체CC 비발디파크 MOUNTAIN골프클럽 소노펠리체CC 비발디파크 MOUNTAIN골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-67d0f65e6b2d,설해원더 레전드 코스,설해원,강원,양양군,양양군 손양면 공항로 230,38.0555897450385,128.664155057919,대중제,18,18,,대중제,033-670-7700,https://www.seolhaeone.com/golf/list.do,5,,,,,,,,,,설해원더 레전드 코스,,,,,manual_review,,,true,설해원|설해원CC|설해원GC|설해원컨트리클럽|설해원골프클럽|설해원골프장,설해원 설해원CC 설해원GC 설해원컨트리클럽 설해원골프클럽 설해원골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-e684f84c8fa4,레이크사이드CC(대중제),레이크사이드CC(퍼블릭),경기,용인시,경기도 용인시 처인구 모현읍 능원로 181,37.3241166580753,127.175268275755,대중제,36,36,,대중제,031-334-2111,http://www.lakeside.kr/,,199000,300000,티스캐너 예약가 기준 평일 199000~240000원 / 주말 259000~300000원,reservation_reference,teescanner,199000,240000,259000,300000,,,,,,accept_price,,,false,레이크사이드CC|레이크사이드GC|레이크사이드컨트리클럽|레이크사이드골프클럽|레이크사이드골프장,레이크사이드CC 레이크사이드GC 레이크사이드컨트리클럽 레이크사이드골프클럽 레이크사이드골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-0c833ff6d95f,블루원용인CC(회원제),블루원용인CC(회원제),경기,용인시,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.134173221852,127.325900163183,회원제,18,18,,회원제,1899-1888,http://yi.blueone.com/,5.6,150000,200000,티스캐너 예약가 기준 평일 150000원 / 주말 200000원,reservation_reference,teescanner,150000,150000,200000,200000,블루원용인,블루원용인,경기남부,용인,,accept_price,,,false,블루원용인CC|블루원용인GC|블루원용인컨트리클럽|블루원용인골프클럽|블루원용인골프장,블루원용인CC 블루원용인GC 블루원용인컨트리클럽 블루원용인골프클럽 블루원용인골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-bcdfbfe815c7,비에이비스타골프장(회원),비에이비스타CC(회원제),경기,이천시,경기도 이천시 모가면 어농로 272,37.1805963585474,127.416935178868,회원제,41,41,,회원제,031-636-3577,http://www.bavista.co.kr/,3.7,105000,135000,티스캐너 예약가 기준 평일 105000~115000원 / 주말 125000~135000원,reservation_reference,teescanner,105000,115000,125000,135000,,,,,,accept_price,,,false,비에이비스타CC|비에이비스타GC|비에이비스타컨트리클럽|비에이비스타골프클럽|비에이비스타골프장,비에이비스타CC 비에이비스타GC 비에이비스타컨트리클럽 비에이비스타골프클럽 비에이비스타골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-9de1c40fef77,블랙스톤골프장(대중형),"블랙스톤CC(퍼블릭, 서코스)",경기,이천시,경기도 이천시 장호원읍 장여로 459-160,37.1615537861069,127.617878033558,대중제,9,9,,대중제,031·630·0703,https://www.blackstoneresort.com/ic/,9.1,197000,258000,티스캐너 예약가 기준 197000~258000원,,,,,,,블랙스톤,블랙스톤,제주 제주도,제주시,ambiguous,manual_review,multiple similar candidates,,true,블랙스톤CC|블랙스톤GC|블랙스톤컨트리클럽|블랙스톤골프클럽|블랙스톤골프장,블랙스톤CC 블랙스톤GC 블랙스톤컨트리클럽 블랙스톤골프클럽 블랙스톤골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),몽베르CC(퍼블릭),경기,포천시,경기 포천시 영북면 산정리 산 60,38.08433182966815,127.3117509555886,대중제,18,18,,대중제,031-531-1100,http://www.montvertcc.com/,6.4,110000,220000,티스캐너 예약가 기준 평일 110000~170000원 / 주말 190000~220000원,reservation_reference,teescanner,110000,170000,190000,220000,몽베르,몽베르,경기북부,포천,,accept_price,,,false,몽베르CC|몽베르GC|몽베르컨트리클럽|몽베르골프클럽|몽베르골프장,몽베르CC 몽베르GC 몽베르컨트리클럽 몽베르골프클럽 몽베르골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-8a797fe2213a,금강컨트리클럽(회원),금강CC(회원제),경기,여주시,경기도 여주시 가남읍 여주남로 541,37.242996981679,127.593146405693,회원제,18,18,,회원제,031-880-6000,https://www.kccgolf.co.kr,8.1,120000,220000,티스캐너 예약가 기준 평일 120000~150000원 / 주말 190000~220000원,reservation_reference,teescanner,120000,150000,190000,220000,금강,금강,경기남부,여주,,accept_price,,,false,금강CC|금강GC|금강컨트리클럽|금강골프클럽|금강골프장,금강CC 금강GC 금강컨트리클럽 금강골프클럽 금강골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-3f6cace5bf14,금강컨트리클럽(대중),"금강CC(퍼블릭, 동코스)",경기,여주시,경기도 여주시 가남읍 여주남로 541,37.242996981679,127.593146405693,대중제,9,9,,대중제,031-880-6000,https://www.kccgolf.co.kr,8.1,120000,220000,티스캐너 예약가 기준 평일 120000~150000원 / 주말 190000~220000원,reservation_reference,teescanner,120000,150000,190000,220000,금강,금강,경기남부,여주,,accept_price,,,false,금강CC|금강GC|금강컨트리클럽|금강골프클럽|금강골프장,금강CC 금강GC 금강컨트리클럽 금강골프클럽 금강골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-6259847b3bba,스카이밸리골프장(비회원),스카이밸리CC(퍼블릭),경기,여주시,경기도 여주시 북내면 운촌길 254,37.3334050283559,127.726592566142,대중제,18,18,,대중제,031-880-8800,http://www.skyvalley.co.kr/,4,140000,240000,티스캐너 예약가 기준 평일 140000~180000원 / 주말 200000~240000원,reservation_reference,teescanner,140000,180000,200000,240000,,,,,,accept_price,,,false,스카이밸리CC|스카이밸리GC|스카이밸리컨트리클럽|스카이밸리골프클럽|스카이밸리골프장,스카이밸리CC 스카이밸리GC 스카이밸리컨트리클럽 스카이밸리골프클럽 스카이밸리골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-6b7f785d4813,힐스카이C.C,힐스카이CC,경상,경주시,경상북도 경주시 천북면 천강로 412-299,35.9104700303636,129.314449722478,대중제,24,24,,대중제,1811-0770,https://www.hillskycc.com,9.7,90000,145000,티스캐너 예약가 기준 90000~145000원,,,,,,,힐스카이,힐스카이(P)(구,경상북부,경주,ambiguous,manual_review,ambiguous_match,,true,힐스카이CC|힐스카이GC|힐스카이컨트리클럽|힐스카이골프클럽|힐스카이골프장,힐스카이CC 힐스카이GC 힐스카이컨트리클럽 힐스카이골프클럽 힐스카이골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-9adfe4aa2a07,안동리버힐C.C,안동리버힐CC,경상,안동시,경상북도 안동시 풍천면 풍일로 1572,36.4893094626202,128.575575027616,회원제,18,18,,회원제,054-843-1256,https://www.xn--2q1bm4ioscnwnx4w.com/,9,90000,145000,티스캐너 예약가 기준 90000~145000원,,,,,,,안동리버힐,안동리버힐(구,경상북부,안동,ambiguous,manual_review,ambiguous_match,,true,안동리버힐CC|안동리버힐GC|안동리버힐컨트리클럽|안동리버힐골프클럽|안동리버힐골프장,안동리버힐CC 안동리버힐GC 안동리버힐컨트리클럽 안동리버힐골프클럽 안동리버힐골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-1730ca5fe304,뉴스프링빌Ⅱ,뉴스프링빌2CC,경상,상주시,경상북도 상주시 모서면 백화로 40,36.2805712952864,127.86022243403,대중제,18,18,,대중제,02-2285-1700,http://www.newspring.co.kr/,3.9,130000,200000,티스캐너 예약가 기준 130000~200000원,,,,,,,뉴스프링빌2,뉴스프링빌(P),경상북부,상주,ambiguous,manual_review,ambiguous_match,,true,뉴스프링빌2CC|뉴스프링빌2GC|뉴스프링빌2컨트리클럽|뉴스프링빌2골프클럽|뉴스프링빌2골프장,뉴스프링빌2CC 뉴스프링빌2GC 뉴스프링빌2컨트리클럽 뉴스프링빌2골프클럽 뉴스프링빌2골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-5607a255716b,파라지오C.C,파라지오CC,경상,의성군,경상북도 의성군 봉양면 농공마전길 167,36.2927570722123,128.553438068074,대중제,18,18,,대중제,054-833-7100,http://paragio.co.kr,6.5,,,,,,,,,,파라지오,파라지오(P),경상북부,의성,ambiguous,manual_review,ambiguous_match,,true,파라지오CC|파라지오GC|파라지오컨트리클럽|파라지오골프클럽|파라지오골프장,파라지오CC 파라지오GC 파라지오컨트리클럽 파라지오골프클럽 파라지오골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-66dd9ef01893,파미힐스C.C,파미힐스CC,경상,칠곡군,경상북도 칠곡군 왜관읍 봉계로 263,35.9981058454328,128.446683037431,회원제,36,36,,회원제,054-971-9900,http://www.palmyhillscc.co.kr/,3.2,,,,,,,,,,파미힐스C.C,,,,,manual_review,,,true,파미힐스CC|파미힐스GC|파미힐스컨트리클럽|파미힐스골프클럽|파미힐스골프장,파미힐스CC 파미힐스GC 파미힐스컨트리클럽 파미힐스골프클럽 파미힐스골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-3d725200e925,울산골프장,울산CC,경상,울주군,울주군 웅촌면 웅촌로 1,35.4499124497015,129.188001730736,회원제,27,27,,회원제,052-225-0707,http://www.ulsancc.co.kr/,2.1,110000,220000,티스캐너 예약가 기준 110000~220000원,,,,,,,울산골프장,,,,,manual_review,,,true,울산CC|울산GC|울산컨트리클럽|울산골프클럽|울산골프장,울산CC 울산GC 울산컨트리클럽 울산골프클럽 울산골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-dfddaf985536,순천CC,순천CC,전라,전남,전남 순천시 별량면 동화사길 85,34.8665346567596,127.405960357161,대중제,9,9,,대중제,061-720-0000,http://suncheoncc.co.kr/,8.9,50000,80000,티스캐너 예약가 기준 50000~80000원,,,,,,,순천,순천(P9),,,ambiguous,manual_review,multiple similar candidates,,true,순천CC|순천GC|순천컨트리클럽|순천골프클럽|순천골프장,순천CC 순천GC 순천컨트리클럽 순천골프클럽 순천골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-a6fee0f415b7,화순CC,화순CC,전라,전남,전남 화순군 도곡면 천태로 1000-151,34.9769304183796,126.899375559468,회원제,27,27,,회원제,061-373-9955,http://www.hwasuncc.co.kr/,1.6,80000,190000,티스캐너 예약가 기준 80000~190000원,,,,,,,화순,화순,,,ambiguous,manual_review,multiple similar candidates,,true,화순CC|화순GC|화순컨트리클럽|화순골프클럽|화순골프장,화순CC 화순GC 화순컨트리클럽 화순골프클럽 화순골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-7c044b23d1a4,에스지아름다운골프&리조트,SG아름다운골프&리조트,충청,영인면,영인면 영인산로 440,36.8462680776647,126.918644640822,대중제,27,27,,대중제,041-536-8000,http://www.arumdaunresort.com/,9.1,,,,,,,,,,에스지아름다운골프&리조트,,,,,manual_review,,,true,SG아름다운골프&리조트|SG아름다운골프&CC|SG아름다운골프&GC|SG아름다운골프&컨트리클럽|SG아름다운골프&골프클럽|SG아름다운골프&골프장,SG아름다운골프&리조트 SG아름다운골프&CC SG아름다운골프&GC SG아름다운골프&컨트리클럽 SG아름다운골프&골프클럽 SG아름다운골프&골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,롯데스카이힐부여CC,충청,부여군,부여군 규암면 백제문로 470,36.3041707572953,126.909307996803,대중제,18,18,,대중제,041-939-1700,https://www.lotteskyhill.com/club/club-intro/club-intro-buyeo,7.6,135000,250000,티스캐너 예약가 기준 135000~250000원,,,,,,,롯데스카이힐부여,롯데스카이힐부여(P),,,ambiguous,manual_review,multiple similar candidates,,true,롯데스카이힐부여CC|롯데스카이힐부여GC|롯데스카이힐부여컨트리클럽|롯데스카이힐부여골프클럽|롯데스카이힐부여골프장,롯데스카이힐부여CC 롯데스카이힐부여GC 롯데스카이힐부여컨트리클럽 롯데스카이힐부여골프클럽 롯데스카이힐부여골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-98e3f829ab99,힐마루컨트리클럽 (대중제),힐마루CC(퍼블릭),경상,창녕군,창녕군 장마면 영산계성로 469-195,35.4994482486962,128.499955867958,대중제,18,18,,대중제,055-520-8000,http://www.hillmaru.com/,8,100000,160000,티스캐너 예약가 기준 100000~160000원,,,,,,,힐마루,힐마루,경상남부,창녕,ambiguous,manual_review,multiple similar candidates,,true,힐마루CC|힐마루GC|힐마루컨트리클럽|힐마루골프클럽|힐마루골프장,힐마루CC 힐마루GC 힐마루컨트리클럽 힐마루골프클럽 힐마루골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-43ee7ee149ba,오션힐스포항C.C (대중제),오션힐스 포항CC,경상,포항시,경상북도 포항시 북구 송라면 대전길 7,36.2449778304564,129.349941885044,대중제,9,9,,대중제,054-262-9988,https://oceanhills.com/,4,130000,230000,티스캐너 예약가 기준 130000~230000원,,,,,,,오션힐스포항C.C (대중제),,,,,manual_review,,,true,오션힐스 포항CC|오션힐스 포항GC|오션힐스 포항컨트리클럽|오션힐스 포항골프클럽|오션힐스 포항골프장,오션힐스 포항CC 오션힐스 포항GC 오션힐스 포항컨트리클럽 오션힐스 포항골프클럽 오션힐스 포항골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-7ef835cc44ce,엘리시안제주 (회원제),엘리시안제주(회원제),제주,제주시,제주특별자치도 제주시 평화로 1738-116,33.3714129298932,126.379913933214,회원제,18,18,,회원제,064-798-7000,https://www.elysian.co.kr/intro,5.2,130000,197000,티스캐너 예약가 기준 평일 130000~157000원 / 주말 175000~197000원,reservation_reference,teescanner,130000,157000,175000,197000,,,,,,accept_price,,,false,엘리시안제주|엘리시안제주CC|엘리시안제주GC|엘리시안제주컨트리클럽|엘리시안제주골프클럽|엘리시안제주골프장,엘리시안제주 엘리시안제주CC 엘리시안제주GC 엘리시안제주컨트리클럽 엘리시안제주골프클럽 엘리시안제주골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-57d2cac587d2,에버리스CC (대중제),에버리스GR(퍼블릭),제주,제주시,제주특별자치도 제주시 평화로 1693-75,33.3781703139549,126.362098048999,대중제,9,9,,대중제,064-795-5000,https://www.shinangolf.com/,4.2,130000,160000,티스캐너 예약가 기준 130000~160000원,,,,,,,에버리스CC (대중제),,,,,manual_review,,,true,에버리스GR|에버리스GRCC|에버리스GRGC|에버리스GR컨트리클럽|에버리스GR골프클럽|에버리스GR골프장,에버리스GR 에버리스GRCC 에버리스GRGC 에버리스GR컨트리클럽 에버리스GR골프클럽 에버리스GR골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-8c893fc692ea,캐슬렉스제주 (대중제),캐슬렉스제주(퍼블릭),제주,서귀포시,제주특별자치도 서귀포시 안덕면 평화로 1241,33.3383411736757,126.348716618245,대중제,9,9,,대중제,064-793-6630,http://www.castlexjj.com/,7.2,130000,160000,티스캐너 예약가 기준 평일 130000~135000원 / 주말 160000원,reservation_reference,teescanner,130000,135000,160000,160000,캐슬렉스제주,캐슬렉스,제주 제주,서귀포,,accept_price,,,false,캐슬렉스제주|캐슬렉스제주CC|캐슬렉스제주GC|캐슬렉스제주컨트리클럽|캐슬렉스제주골프클럽|캐슬렉스제주골프장,캐슬렉스제주 캐슬렉스제주CC 캐슬렉스제주GC 캐슬렉스제주컨트리클럽 캐슬렉스제주골프클럽 캐슬렉스제주골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-a34d1218714a,해비치CC (대중제),해비치CC(퍼블릭),제주,서귀포시,제주특별자치도 서귀포시 남원읍 원님로 399번길 319,33.3623095320649,126.721898147673,대중제,18,18,,대중제,064-766-6200,https://www.haevichi.com/ccjeju/ko/,7.1,110000,210000,티스캐너 예약가 기준 평일 110000~160000원 / 주말 180000~210000원,reservation_reference,teescanner,110000,160000,180000,210000,해비치,해비치,제주 제주,서귀포,,accept_price,,,false,해비치CC|해비치GC|해비치컨트리클럽|해비치골프클럽|해비치골프장,해비치CC 해비치GC 해비치컨트리클럽 해비치골프클럽 해비치골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-ae905ec6b25f,소노펠리체 컨트리클럽 비발디파크 이스트,소노펠리체CC 비발디파크 EAST,강원,홍천군,홍천군 서면 한치골길 541-123,37.666999762252,127.686354618555,대중제,18,18,,대중제,1644-0063,https://www.sonofelicecc.com/sn/,8,190000,210000,티스캐너 예약가 기준 190000~210000원,,,,,,,소노펠리체 컨트리클럽 비발디파크 이스트,,,,,manual_review,,,true,소노펠리체CC 비발디파크 EAST|소노펠리체CC 비발디파크 EASTCC|소노펠리체CC 비발디파크 EASTGC|소노펠리체CC 비발디파크 EAST컨트리클럽|소노펠리체CC 비발디파크 EAST골프클럽|소노펠리체CC 비발디파크 EAST골프장,소노펠리체CC 비발디파크 EAST 소노펠리체CC 비발디파크 EASTCC 소노펠리체CC 비발디파크 EASTGC 소노펠리체CC 비발디파크 EAST컨트리클럽 소노펠리체CC 비발디파크 EAST골프클럽 소노펠리체CC 비발디파크 EAST골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-ec8024eb7955,웰리힐리퍼블릭,웰리힐리CC,강원,횡성군,횡성군 둔내면 고원로 451,37.4901264775059,128.250138360949,대중제,10,10,,대중제,1544-8833,http://www.wellihillipark.com/wellihillicc/,9,120000,200000,티스캐너 예약가 기준 120000~200000원,,,,,,,웰리힐리,웰리힐리,강원서부,횡성,ambiguous,manual_review,ambiguous_match,,true,웰리힐리CC|웰리힐리GC|웰리힐리컨트리클럽|웰리힐리골프클럽|웰리힐리골프장,웰리힐리CC 웰리힐리GC 웰리힐리컨트리클럽 웰리힐리골프클럽 웰리힐리골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-07b4c0178c39,블루헤런G.C,블루헤런GC,경기,여주시,경기도 여주시 대신면 고달사로 67,37.3833461325324,127.64378607957,회원제,18,18,,회원제,031-880-0700,https://www.blueheron.co.kr/,8.9,150000,250000,티스캐너 예약가 기준 평일 150000~180000원 / 주말 240000~250000원,reservation_reference,teescanner,150000,180000,240000,250000,,,,,,accept_price,,,false,블루헤런GC|블루헤런CC|블루헤런컨트리클럽|블루헤런골프클럽|블루헤런골프장,블루헤런GC 블루헤런CC 블루헤런컨트리클럽 블루헤런골프클럽 블루헤런골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-69fe3eb3e177,사우스케이프오너스클럽,사우스케이프CC,경상,남해군,남해군 창선면 흥선로 1545,34.8406275935052,128.061331128818,대중제,18,18,,대중제,1644-0280,https://www.southcape.co.kr/golf.asp,8.9,,,,,,,,,,사우스케이프오너스클럽,,,,,manual_review,,,true,사우스케이프CC|사우스케이프GC|사우스케이프컨트리클럽|사우스케이프골프클럽|사우스케이프골프장,사우스케이프CC 사우스케이프GC 사우스케이프컨트리클럽 사우스케이프골프클럽 사우스케이프골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-cd6b63162f39,거창친환경대중골프장,거창CC,경상,거창군,거창군 가조면 우륵길 410-284,35.6937788660433,128.056404511949,대중제,9,9,,대중제,055-940-7979,https://www.geochang.go.kr/golf/common/main.do,9,,,,,,,,,,거창,클럽디거창(P),경상북부,대구,ambiguous,manual_review,multiple similar candidates,,true,거창CC|거창GC|거창컨트리클럽|거창골프클럽|거창골프장,거창CC 거창GC 거창컨트리클럽 거창골프클럽 거창골프장,{},public_data,2026-06-18T01:00:04.006Z
gc-a1d37ac059d4,경주C.C,경주CC,경상,경주시,경상북도 경주시 보문로 182-98,35.8691255436334,129.255788587053,대중제,27,27,,대중제,054-778-8900,http://www.kyongjugolf.co.kr/,,140000,170000,티스캐너 예약가 기준 140000~170000원,,,,,,,경주,경주(P),경상북부,경주,ambiguous,manual_review,multiple similar candidates,,true,경주CC|경주GC|경주컨트리클럽|경주골프클럽|경주골프장,경주CC 경주GC 경주컨트리클럽 경주골프클럽 경주골프장,{},public_data,2026-06-18T01:00:04.006Z
