id,name,change_name_to,address,phone,homepage_url,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-67d0f65e6b2d,설해원더 레전드 코스,설해원,양양군 손양면 공항로 230,033-670-7700,https://www.seolhaeone.com/golf/list.do,,,,unknown,5,92.1,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A4%ED%95%B4%EC%9B%90%EB%8D%94%20%EB%A0%88%EC%A0%84%EB%93%9C%20%EC%BD%94%EC%8A%A4,high,y,
gc-e684f84c8fa4,레이크사이드CC(대중제),레이크사이드CC(퍼블릭),경기도 용인시 처인구 모현읍 능원로 181,031-334-2111,http://www.lakeside.kr/,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%A0%88%EC%9D%B4%ED%81%AC%EC%82%AC%EC%9D%B4%EB%93%9CCC(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-0c833ff6d95f,블루원용인CC(회원제),블루원용인CC(회원제),경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,1899-1888,http://yi.blueone.com/,,,,unknown,5.6,92.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%A3%A8%EC%9B%90%EC%9A%A9%EC%9D%B8CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,
gc-bcdfbfe815c7,비에이비스타골프장(회원),비에이비스타CC(회원제),경기도 이천시 모가면 어농로 272,031-636-3577,http://www.bavista.co.kr/,,,,unknown,3.7,91.2,https://search.naver.com/search.naver?where=nexearch&query=%EB%B9%84%EC%97%90%EC%9D%B4%EB%B9%84%EC%8A%A4%ED%83%80%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-9de1c40fef77,블랙스톤골프장(대중형),"블랙스톤CC(퍼블릭, 서코스)",경기도 이천시 장호원읍 장여로 459-160,031·630·0703,https://www.blackstoneresort.com/ic/,,197000,258000,unknown,9.1,94.6,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%9E%99%EC%8A%A4%ED%86%A4%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%8C%80%EC%A4%91%ED%98%95),high,y,phone diff kept existing (031·630·0703 vs scraped 031-643-2000); homepage_url diff kept existing (https://www.blackstoneresort.com/ic/ vs scraped https://www.instagram.com/bsic_sns)
gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),몽베르CC(퍼블릭),경기 포천시 영북면 산정리 산 60,031-531-1100,http://www.montvertcc.com/,,160000,280000,unknown,6.4,92.7,https://search.naver.com/search.naver?where=nexearch&query=%EB%AA%BD%EB%B2%A0%EB%A5%B4%20CC(%EB%B9%84%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,
gc-8a797fe2213a,금강컨트리클럽(회원),금강CC(회원제),경기도 여주시 가남읍 여주남로 541,031-880-6000,https://www.kccgolf.co.kr,,,,unknown,8.1,93.7,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%ED%9A%8C%EC%9B%90),medium,y,
gc-3f6cace5bf14,금강컨트리클럽(대중),"금강CC(퍼블릭, 동코스)",경기도 여주시 가남읍 여주남로 541,031-880-6000,https://www.kccgolf.co.kr,,,,unknown,8.1,93.7,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%EB%8C%80%EC%A4%91),medium,y,
gc-6259847b3bba,스카이밸리골프장(비회원),스카이밸리CC(퍼블릭),경기도 여주시 북내면 운촌길 254,031-880-8800,http://www.skyvalley.co.kr/,,,,unknown,4,91.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%B0%B8%EB%A6%AC%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%B9%84%ED%9A%8C%EC%9B%90),high,y,
gc-6b7f785d4813,힐스카이C.C,힐스카이CC,경상북도 경주시 천북면 천강로 412-299,1811-0770,https://www.hillskycc.com,,90000,145000,unknown,9.7,95.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%9E%90%EC%8A%A4%EC%B9%B4%EC%9D%B4C.C%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,y,
gc-9adfe4aa2a07,안동리버힐C.C,안동리버힐CC,경상북도 안동시 풍천면 풍일로 1572,054-843-1256,https://www.xn--2q1bm4ioscnwnx4w.com/,,90000,145000,unknown,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%88%EB%8F%99%EB%A6%AC%EB%B2%84%ED%9E%90C.C,high,y,difficulty diff kept existing (9 vs scraped 9.1)
gc-1730ca5fe304,뉴스프링빌Ⅱ,뉴스프링빌2CC,경상북도 상주시 모서면 백화로 40,02-2285-1700,http://www.newspring.co.kr/,,130000,200000,unknown,3.9,91.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%89%B4%EC%8A%A4%ED%94%84%EB%A7%81%EB%B9%8C%E2%85%A1,medium,y,
gc-5607a255716b,파라지오C.C,파라지오CC,경상북도 의성군 봉양면 농공마전길 167,054-833-7100,http://paragio.co.kr,,,,unknown,6.5,92.7,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EB%9D%BC%EC%A7%80%EC%98%A4C.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,
gc-66dd9ef01893,파미힐스C.C,파미힐스CC,경상북도 칠곡군 왜관읍 봉계로 263,054-971-9900,http://www.palmyhillscc.co.kr/,,,,unknown,3.2,90.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EB%AF%B8%ED%9E%90%EC%8A%A4C.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,medium,y,
gc-3d725200e925,울산골프장,울산CC,울주군 웅촌면 웅촌로 1,052-225-0707,http://www.ulsancc.co.kr/,,110000,220000,unknown,2.1,89.8,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%B8%EC%82%B0,medium,y,
gc-dfddaf985536,순천CC,순천CC,전남 순천시 별량면 동화사길 85,061-720-0000,http://suncheoncc.co.kr/,,50000,80000,unknown,8.9,94.4,https://search.naver.com/search.naver?where=nexearch&query=%EC%88%9C%EC%B2%9CCC,high,y,
gc-a6fee0f415b7,화순CC,화순CC,전남 화순군 도곡면 천태로 1000-151,061-373-9955,http://www.hwasuncc.co.kr/,,80000,190000,unknown,1.6,88.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%99%94%EC%88%9CCC,high,y,
gc-7c044b23d1a4,에스지아름다운골프&리조트,SG아름다운골프&리조트,영인면 영인산로 440,041-536-8000,http://www.arumdaunresort.com/,,,,unknown,9.1,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EC%8A%A4%EC%A7%80%EC%95%84%EB%A6%84%EB%8B%A4%EC%9A%B4%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,difficulty diff kept existing (9.1 vs scraped 9)
gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,롯데스카이힐부여CC,부여군 규암면 백제문로 470,041-939-1700,https://www.lotteskyhill.com/club/club-intro/club-intro-buyeo,,135000,250000,unknown,7.6,93.3,https://search.naver.com/search.naver?where=nexearch&query=%E3%88%9C%ED%98%B8%ED%85%94%EB%A1%AF%EB%8D%B0%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%ED%9E%90%20%EB%B6%80%EC%97%ACCC,high,y,
gc-98e3f829ab99,힐마루컨트리클럽 (대중제),힐마루CC(퍼블릭),창녕군 장마면 영산계성로 469-195,055-520-8000,http://www.hillmaru.com/,,100000,160000,unknown,8,93.6,https://search.naver.com/search.naver?where=nexearch&query=%ED%9E%90%EB%A7%88%EB%A3%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-43ee7ee149ba,오션힐스포항C.C (대중제),오션힐스 포항CC,경상북도 포항시 북구 송라면 대전길 7,054-262-9988,https://oceanhills.com/,,130000,230000,unknown,4,91.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EC%85%98%ED%9E%90%EC%8A%A4%ED%8F%AC%ED%95%ADC.C%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-7ef835cc44ce,엘리시안제주 (회원제),엘리시안제주(퍼블릭),제주특별자치도 제주시 평화로 1738-116,064-798-7000,https://www.elysian.co.kr/intro,,,,unknown,5.2,92.1,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%98%EB%A6%AC%EC%8B%9C%EC%95%88%EC%A0%9C%EC%A3%BC%20(%ED%9A%8C%EC%9B%90%EC%A0%9C),high,y,
gc-57d2cac587d2,에버리스CC (대중제),에버리스GR(퍼블릭),제주특별자치도 제주시 평화로 1693-75,064-795-5000,https://www.shinangolf.com/,,130000,160000,unknown,4.2,91.6,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EB%B2%84%EB%A6%AC%EC%8A%A4CC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-8c893fc692ea,캐슬렉스제주 (대중제),캐슬렉스제주(퍼블릭),제주특별자치도 서귀포시 안덕면 평화로 1241,064-793-6630,http://www.castlexjj.com/,,65000,80000,unknown,7.2,93,https://search.naver.com/search.naver?where=nexearch&query=%EC%BA%90%EC%8A%AC%EB%A0%89%EC%8A%A4%EC%A0%9C%EC%A3%BC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),medium,y,
gc-a34d1218714a,해비치CC (대중제),해비치CC(퍼블릭),제주특별자치도 서귀포시 남원읍 원님로 399번길 319,064-766-6200,https://www.haevichi.com/ccjeju/ko/,,110000,212000,unknown,7.1,93,https://search.naver.com/search.naver?where=nexearch&query=%ED%95%B4%EB%B9%84%EC%B9%98CC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-ae905ec6b25f,소노펠리체 컨트리클럽 비발디파크 이스트,소노펠리체CC 비발디파크 EAST,홍천군 서면 한치골길 541-123,1644-0063,https://www.sonofelicecc.com/sn/,,190000,210000,unknown,8,93.6,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%EB%85%B8%ED%8E%A0%EB%A6%AC%EC%B2%B4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EC%9D%B4%EC%8A%A4%ED%8A%B8,medium,y,
gc-ec8024eb7955,웰리힐리퍼블릭,웰리힐리CC,횡성군 둔내면 고원로 451,1544-8833,http://www.wellihillipark.com/wellihillicc/,,120000,200000,unknown,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%9B%B0%EB%A6%AC%ED%9E%90%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AD,medium,y,
gc-07b4c0178c39,블루헤런G.C,블루헤런GC,경기도 여주시 대신면 고달사로 67,031-880-0700,https://www.blueheron.co.kr/,,,,unknown,8.9,94.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%A3%A8%ED%97%A4%EB%9F%B0G.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,
gc-69fe3eb3e177,사우스케이프오너스클럽,사우스케이프CC,남해군 창선면 흥선로 1545,1644-0280,https://www.southcape.co.kr/golf.asp,,,,unknown,8.9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%82%AC%EC%9A%B0%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84%EC%98%A4%EB%84%88%EC%8A%A4%ED%81%B4%EB%9F%BD,medium,y,
gc-cd6b63162f39,거창친환경대중골프장,거창CC,거창군 가조면 우륵길 410-284,055-940-7979,https://www.geochang.go.kr/golf/common/main.do,,,,unknown,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EA%B1%B0%EC%B0%BD%EC%B9%9C%ED%99%98%EA%B2%BD%EB%8C%80%EC%A4%91%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-a1d37ac059d4,경주C.C,경주CC,경상북도 경주시 보문로 182-98,054-778-8900,http://www.kyongjugolf.co.kr/,,140000,170000,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EA%B2%BD%EC%A3%BCC.C%20%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%98%88%EC%95%BD,high,y,
gc-130f7b88bcf3,우리G.C,우리GC,경상북도 경주시 양남면 동남로 972,054-740-0800,http://urigolfclub.co.kr,,40000,65000,unknown,7.2,93,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%B0%EB%A6%ACG.C%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,y,
gc-29c208d17553,오션힐스청도G.C,오션힐스 청도GC,경상북도 청도군 매전면 곰티로 370-204,0507-1375-5620,https://oceanhills.com/,,180000,230000,unknown,5.2,92.1,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EC%85%98%ED%9E%90%EC%8A%A4%EC%B2%AD%EB%8F%84G.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,
gc-2159121d90f9,에콜리안광산골프장,광산CC,광주광역시 광산구 오목내길 26(연산동),062-616-5870,https://www.gwangsancc.kr/,,30000,40000,unknown,9.4,94.9,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EC%BD%9C%EB%A6%AC%EC%95%88%EA%B4%91%EC%82%B0%EA%B3%A8%ED%94%84%EC%9E%A5%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,y,
gc-b0d53a657195,클럽72(바다),클럽72CC,인천시 중구 공항동로 392,1599-0072,https://www.onetheclub.com/,,,,unknown,8.5,94,https://search.naver.com/search.naver?where=nexearch&query=%ED%81%B4%EB%9F%BD72(%EB%B0%94%EB%8B%A4)%20%EC%9D%B8%EC%B2%9C%EC%8B%9C,high,y,
gc-a7bb99a4bcec,클럽72(하늘),클럽72CC(하늘),인천시 중구 공항동로135번길 267,1599-0072,https://www.onetheclub.com/,,,,unknown,3.9,91.4,https://search.naver.com/search.naver?where=nexearch&query=%ED%81%B4%EB%9F%BD72(%ED%95%98%EB%8A%98)%20%EC%9D%B8%EC%B2%9C%EC%8B%9C,high,y,
gc-d5a6f91a588a,다산베아채골프&리조트,다산베아채골프&리조트,전남 강진군 도암면 학장용산길 101,061-430-9999,http://www.beachegolf.com,,85000,185000,unknown,3.3,90.9,https://search.naver.com/search.naver?where=nexearch&query=%EB%8B%A4%EC%82%B0%EB%B2%A0%EC%95%84%EC%B1%84%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,
gc-c8fc5eccf7b9,천지CC,함평천지CC,전남 함평군 함장로 889-11,0507-1439-0000,http://www.hpnabicc.co.kr,,50000,85000,unknown,9.5,95,https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%9C%EC%A7%80CC%20%EC%A0%84%EB%82%A8,high,y,
gc-606fb4b33249,떼제베운영,올데이청주떼제베,청주시 흥덕구 옥산면 동림2길 149,043-262-5000,https://www.adtgv.co.kr/,,120000,150000,unknown,6.3,92.6,https://search.naver.com/search.naver?where=nexearch&query=%EB%96%BC%EC%A0%9C%EB%B2%A0%EC%9A%B4%EC%98%81,high,y,
gc-97d5d758dc31,블랙스톤cc,블랙스톤CC,증평군 도안면 벼루재길 334,031-643-2000,https://www.blackstoneresort.com/ic/,,250000,330000,unknown,9.1,94.6,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%9E%99%EC%8A%A4%ED%86%A4cc%20%EC%A6%9D%ED%8F%89%EA%B5%B0,high,y,
gc-ce976348ba8f,아난티클럽제주 (대중제),아난티클럽제주(퍼블릭),제주특별자치도 제주시 선유로 445-55,064-786-3800,https://ananti.kr/ko/jeju,,,,unknown,6.4,92.6,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EB%82%9C%ED%8B%B0%ED%81%B4%EB%9F%BD%EC%A0%9C%EC%A3%BC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-4d1cbdf3ceb2,롯데스카이힐제주 (대중제),롯데스카이힐제주CC,제주특별자치도 서귀포시 상예로 530,064-731-2000,https://www.lotteskyhill.com/club/club-intro/club-intro-jeju,,110000,180000,unknown,9.3,94.8,https://search.naver.com/search.naver?where=nexearch&query=%EB%A1%AF%EB%8D%B0%EC%8A%A4%EC%B9%B4%EC%9D%B4%ED%9E%90%EC%A0%9C%EC%A3%BC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-ae299d74ffe4,여수시티파크골프&호텔,여수시티파크리조트골프장,전남 여수시 좌수영로 641,061-808-8000,http://www.citypark.co.kr/,,100000,140000,unknown,7.7,93.4,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%AC%EC%88%98%EC%8B%9C%ED%8B%B0%ED%8C%8C%ED%81%AC%EA%B3%A8%ED%94%84%26%ED%98%B8%ED%85%94%20%EB%84%A4%EC%9D%B4%EB%B2%84,medium,y,
gc-b768a2002431,메이플비치골프&리조트,메이플비치골프앤리조트 CC,강릉시 강동면 풍호길 300-78,033-650-0020,https://maplebeach.co.kr/,,120000,180000,unknown,8.3,93.8,https://search.naver.com/search.naver?where=nexearch&query=%EB%A9%94%EC%9D%B4%ED%94%8C%EB%B9%84%EC%B9%98%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,medium,y,
gc-e6edfdd39527,O2리조트 퍼블릭골프장,오투리조트CC,강원 태백시 서학로 739,033-580-7700,http://www.o2resort.com/main.xhtml,,100000,150000,unknown,9,94,https://search.naver.com/search.naver?where=nexearch&query=O2%EB%A6%AC%EC%A1%B0%ED%8A%B8%20%ED%8D%BC%EB%B8%94%EB%A6%AD%EA%B3%A8%ED%94%84%EC%9E%A5,medium,y,
gc-fac50b03683e,벨라45 오너스 컨트리클럽,벨라45 컨트리클럽,횡성군 서원면 창촌리 산132,1551-2745,https://www.bella45.com/,,150000,230000,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A8%EB%9D%BC45%20%EC%98%A4%EB%84%88%EC%8A%A4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-11423b427515,용평리조트골프클럽,,평창군 대관령면 올림픽로 715,033-330-7611,,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%A9%ED%8F%89%EB%A6%AC%EC%A1%B0%ED%8A%B8G.C,high,y,
gc-1e4b4a02117e,용평버치힐골프클럽,,평창군 대관령면 올림픽로 715,033-330-8623,,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%A9%ED%8F%89%EB%B2%84%EC%B9%98%ED%9E%90%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-07cd3007c683,용평리조트대중골프장,,평창군 대관령면 올림픽로 715,02-3270-1245,,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%A9%ED%8F%89%EB%A6%AC%EC%A1%B0%ED%8A%B8%EB%8C%80%EC%A4%91%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-4af8a2f8ed32,플라자CC,플라자CC 용인,경기도 용인시 처인구 남사읍 봉무로 153번길 79,031-323-3311,http://www.plazacc.co.kr/,,220000,290000,unknown,3.9,91.3,https://search.naver.com/search.naver?where=nexearch&query=%ED%94%8C%EB%9D%BC%EC%9E%90CC,high,y,
gc-9da6f2a0f2d9,태광컨트리클럽(회원제),태광CC(회원제),경기도 용인시 기흥구 흥덕4로 77,070-8189-6001,https://www.taekwangcc.co.kr/,,260000,300000,unknown,4.5,91.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%83%9C%EA%B4%91%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%ED%9A%8C%EC%9B%90%EC%A0%9C),high,y,
gc-3d63d3179c0f,태광컨트리클럽(대중제),태광CC(퍼블릭),경기도 용인시 기흥구 흥덕4로 77,070-8189-6001,https://www.taekwangcc.co.kr/,,199000,259000,unknown,4.5,91.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%83%9C%EA%B4%91%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,
gc-0f218a599984,국가보훈부 88골프장,88CC,경기도 용인시 기흥구 석성로 521번길 169,031-287-8811,https://www.88countryclub.co.kr/,,210000,260000,unknown,2.6,90.3,https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EA%B0%80%EB%B3%B4%ED%9B%88%EB%B6%80%2088%EA%B3%A8%ED%94%84%EC%9E%A5%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,y,
gc-588d348bc962,레이크사이드CC(회원제),레이크사이드CC(회원제),경기도 용인시 처인구 모현읍 능원로 181,031-334-2111,http://www.lakeside.kr/,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%A0%88%EC%9D%B4%ED%81%AC%EC%82%AC%EC%9D%B4%EB%93%9CCC(%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,
gc-2ef4e18d677b,블루원용인CC(비회원제),블루원용인CC(퍼블릭),경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,1899-1888,http://yi.blueone.com/,,,,unknown,5.6,92.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%A3%A8%EC%9B%90%EC%9A%A9%EC%9D%B8CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,
gc-4487ee52808c,코리아대중CC,코리아퍼블릭CC,경기도 용인시 기흥구 기흥단지로 224,031-286-9500,https://www.gakorea.com,,55000,80000,unknown,1.2,87.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A6%AC%EC%95%84%EB%8C%80%EC%A4%91CC,high,y,
gc-4687a4044d34,지산퍼블릭,지산퍼블릭,경기도 용인시 처인구 원삼면 죽양대로 2100번길 60,031-330-1400,https://www.jisanresort.co.kr,,50000,65000,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%A7%80%EC%82%B0%ED%8D%BC%EB%B8%94%EB%A6%AD,high,y,
