id,name,change_name_to,address,phone,homepage_url,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note,teescanner_matched_title,teescanner_matched_region,teescanner_weekday_price_min,teescanner_weekday_price_max,teescanner_weekend_price_min,teescanner_weekend_price_max,teescanner_overall_price_min,teescanner_overall_price_max,teescanner_success_day_count,teescanner_no_price_day_count,teescanner_manual_review_count,teescanner_accept_price_day_count,teescanner_price_scope_summary,teescanner_review_action,teescanner_detail_url,teescanner_last_collected_at,teescanner_source_name
gc-56adaea8c265,소노펠리체 컨트리클럽 비발디파크 마운틴,소노펠리체CC 비발디파크 MOUNTAIN,홍천군 서면 한치골길 264,1644-0063,http://www.sonofelicecc.com/vp,,,,unknown,3.7,91.2,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%EB%85%B8%ED%8E%A0%EB%A6%AC%EC%B2%B4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20%EB%B9%84%EB%B0%9C%EB%94%94%ED%8C%8C%ED%81%AC%20%EB%A7%88%EC%9A%B4%ED%8B%B4,medium,y,,,,,,,,,,0,2,2,0,,manual_review,,2026-06-25T16:29:30.632Z,teescanner
gc-67d0f65e6b2d,설해원더 레전드 코스,설해원,양양군 손양면 공항로 230,033-670-7700,https://www.seolhaeone.com/golf/list.do,,,,unknown,5,92.1,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A4%ED%95%B4%EC%9B%90%EB%8D%94%20%EB%A0%88%EC%A0%84%EB%93%9C%20%EC%BD%94%EC%8A%A4,high,y,,,,,,,,,,0,2,2,0,,manual_review,,2026-06-24T13:43:17.724Z,teescanner
gc-e684f84c8fa4,레이크사이드CC(대중제),레이크사이드CC(퍼블릭),경기도 용인시 처인구 모현읍 능원로 181,031-334-2111,http://www.lakeside.kr/,"참고 요금 평일 199,000원~240,000원 / 주말 259,000원~300,000원",199000,300000,reservation_reference,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%A0%88%EC%9D%B4%ED%81%AC%EC%82%AC%EC%9D%B4%EB%93%9CCC(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,199000,240000,259000,300000,199000,300000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=244&roundDay=2026-06-27&entry_path=SC,,teescanner
gc-0c833ff6d95f,블루원용인CC(회원제),블루원용인CC(회원제),경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,1899-1888,http://yi.blueone.com/,"참고 요금 평일 150,000원 / 주말 200,000원",150000,200000,reservation_reference,5.6,92.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%A3%A8%EC%9B%90%EC%9A%A9%EC%9D%B8CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,블루원용인,경기남부 > 용인,150000,150000,200000,200000,150000,200000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=48&roundDay=2026-06-29&entry_path=SC,2026-06-24T13:44:27.482Z,teescanner
gc-bcdfbfe815c7,비에이비스타골프장(회원),비에이비스타CC(회원제),경기도 이천시 모가면 어농로 272,031-636-3577,http://www.bavista.co.kr/,"참고 요금 평일 105,000원~115,000원 / 주말 125,000원~135,000원",105000,135000,reservation_reference,3.7,91.2,https://search.naver.com/search.naver?where=nexearch&query=%EB%B9%84%EC%97%90%EC%9D%B4%EB%B9%84%EC%8A%A4%ED%83%80%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. manual_review 또는 partial_day_slots인 경우 검토 필요. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음. manual_review 또는 partial_day_slots인 경우 검토 필요.,,,105000,115000,125000,135000,105000,135000,2,0,0,2,complete_day_slots | partial_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=560&roundDay=2026-06-27&entry_path=SC,,teescanner
gc-9de1c40fef77,블랙스톤골프장(대중형),"블랙스톤CC(퍼블릭, 서코스)",경기도 이천시 장호원읍 장여로 459-160,031·630·0703,https://www.blackstoneresort.com/ic/,,197000,258000,unknown,9.1,94.6,https://search.naver.com/search.naver?where=nexearch&query=%EB%B8%94%EB%9E%99%EC%8A%A4%ED%86%A4%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%8C%80%EC%A4%91%ED%98%95),high,y,,블랙스톤,제주 제주도 > 제주시,,,,,,,0,2,2,0,loaded_slots,manual_review,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=209&roundDay=2026-06-29&entry_path=SC,2026-06-25T14:32:47.528Z,teescanner
gc-9d709ff43c33,몽베르 컨트리클럽(비회원제),몽베르CC(퍼블릭),경기 포천시 영북면 산정리 산 60,031-531-1100,http://www.montvertcc.com/,"참고 요금 평일 110,000원~170,000원 / 주말 190,000원~220,000원",110000,220000,reservation_reference,6.4,92.7,https://search.naver.com/search.naver?where=nexearch&query=%EB%AA%BD%EB%B2%A0%EB%A5%B4%20CC(%EB%B9%84%ED%9A%8C%EC%9B%90%EC%A0%9C),medium,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,몽베르,경기북부 > 포천,110000,170000,190000,220000,110000,220000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=229&roundDay=2026-06-29&entry_path=SC,2026-06-24T13:45:49.243Z,teescanner
gc-8a797fe2213a,금강컨트리클럽(회원),금강CC(회원제),경기도 여주시 가남읍 여주남로 541,031-880-6000,https://www.kccgolf.co.kr,"참고 요금 평일 120,000원~150,000원 / 주말 190,000원~220,000원",120000,220000,reservation_reference,8.1,93.7,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%ED%9A%8C%EC%9B%90),medium,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,금강,경기남부 > 여주,120000,150000,190000,220000,120000,220000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=292&roundDay=2026-06-29&entry_path=SC,2026-06-24T13:46:50.697Z,teescanner
gc-3f6cace5bf14,금강컨트리클럽(대중),"금강CC(퍼블릭, 동코스)",경기도 여주시 가남읍 여주남로 541,031-880-6000,https://www.kccgolf.co.kr,"참고 요금 평일 120,000원~150,000원 / 주말 190,000원~220,000원",120000,220000,reservation_reference,8.1,93.7,https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD(%EB%8C%80%EC%A4%91),medium,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,금강,경기남부 > 여주,120000,150000,190000,220000,120000,220000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=292&roundDay=2026-06-29&entry_path=SC,2026-06-25T00:42:37.159Z,teescanner
gc-6259847b3bba,스카이밸리골프장(비회원),스카이밸리CC(퍼블릭),경기도 여주시 북내면 운촌길 254,031-880-8800,http://www.skyvalley.co.kr/,"참고 요금 평일 140,000원~180,000원 / 주말 200,000원~240,000원",140000,240000,reservation_reference,4,91.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%8A%A4%EC%B9%B4%EC%9D%B4%EB%B0%B8%EB%A6%AC%EA%B3%A8%ED%94%84%EC%9E%A5(%EB%B9%84%ED%9A%8C%EC%9B%90),high,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,140000,180000,200000,240000,140000,240000,2,0,0,2,complete_day_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=175&roundDay=2026-06-27&entry_path=SC,,teescanner
gc-6b7f785d4813,힐스카이C.C,힐스카이CC,경상북도 경주시 천북면 천강로 412-299,1811-0770,https://www.hillskycc.com,"참고 요금 평일 70,000원~100,000원 / 주말 110,000원~120,000원",70000,120000,reservation_reference,9.7,95.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%9E%90%EC%8A%A4%EC%B9%B4%EC%9D%B4C.C%20%EB%84%A4%EC%9D%B4%EB%B2%84,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,70000,100000,110000,120000,70000,120000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=114090&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-9adfe4aa2a07,안동리버힐C.C,안동리버힐CC,경상북도 안동시 풍천면 풍일로 1572,054-843-1256,https://www.xn--2q1bm4ioscnwnx4w.com/,"참고 요금 평일 85,000원~105,000원",85000,105000,reservation_reference,9,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%88%EB%8F%99%EB%A6%AC%EB%B2%84%ED%9E%90C.C,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,85000,105000,,,85000,105000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=113975&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-1730ca5fe304,뉴스프링빌Ⅱ,뉴스프링빌2CC,경상북도 상주시 모서면 백화로 40,02-2285-1700,http://www.newspring.co.kr/,"참고 요금 평일 110,000원 / 주말 160,000원~200,000원",110000,200000,reservation_reference,3.9,91.4,https://search.naver.com/search.naver?where=nexearch&query=%EB%89%B4%EC%8A%A4%ED%94%84%EB%A7%81%EB%B9%8C%E2%85%A1,medium,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,110000,110000,160000,200000,110000,200000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=272&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
gc-5607a255716b,파라지오C.C,파라지오CC,경상북도 의성군 봉양면 농공마전길 167,054-833-7100,http://paragio.co.kr,"참고 요금 평일 60,000원~85,000원 / 주말 105,000원~125,000원",60000,125000,reservation_reference,6.5,92.7,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EB%9D%BC%EC%A7%80%EC%98%A4C.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,60000,85000,105000,125000,60000,125000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=113859&roundDay=2026-07-04&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
gc-66dd9ef01893,파미힐스C.C,파미힐스CC,경상북도 칠곡군 왜관읍 봉계로 263,054-971-9900,http://www.palmyhillscc.co.kr/,,,,unknown,3.2,90.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EB%AF%B8%ED%9E%90%EC%8A%A4C.C%20%EA%B7%B8%EB%A6%B0%ED%94%BC,medium,y,,,,,,,,,,0,2,2,0,,manual_review,,2026-06-26T00:19:46.309Z,teescanner
gc-3d725200e925,울산골프장,울산CC,울주군 웅촌면 웅촌로 1,052-225-0707,http://www.ulsancc.co.kr/,,110000,220000,unknown,2.1,89.8,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%B8%EC%82%B0,medium,y,,,,,,,,,,0,2,2,0,,manual_review,,2026-06-26T00:23:29.049Z,teescanner
gc-dfddaf985536,순천CC,순천CC,전남 순천시 별량면 동화사길 85,061-720-0000,http://suncheoncc.co.kr/,,50000,80000,unknown,8.9,94.4,https://search.naver.com/search.naver?where=nexearch&query=%EC%88%9C%EC%B2%9CCC,high,y,,순천(P9),,,,,,,,0,2,2,0,,manual_review,,2026-06-25T14:48:36.950Z,teescanner
gc-a6fee0f415b7,화순CC,화순CC,전남 화순군 도곡면 천태로 1000-151,061-373-9955,http://www.hwasuncc.co.kr/,"참고 요금 평일 80,000원~150,000원",80000,150000,reservation_reference,1.6,88.8,https://search.naver.com/search.naver?where=nexearch&query=%ED%99%94%EC%88%9CCC,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,80000,150000,,,80000,150000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=57&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-7c044b23d1a4,에스지아름다운골프&리조트,SG아름다운골프&리조트,영인면 영인산로 440,041-536-8000,http://www.arumdaunresort.com/,"참고 요금 평일 130,000원~150,000원 / 주말 220,000원",130000,220000,reservation_reference,9.1,94.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EC%8A%A4%EC%A7%80%EC%95%84%EB%A6%84%EB%8B%A4%EC%9A%B4%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,130000,150000,220000,220000,130000,220000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=155&roundDay=2026-07-05&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
gc-41c9fac17790,㈜호텔롯데 스카이힐 부여CC,롯데스카이힐부여CC,부여군 규암면 백제문로 470,041-939-1700,https://www.lotteskyhill.com/club/club-intro/club-intro-buyeo,"참고 요금 평일 105,000원~130,000원",105000,130000,reservation_reference,7.6,93.3,https://search.naver.com/search.naver?where=nexearch&query=%E3%88%9C%ED%98%B8%ED%85%94%EB%A1%AF%EB%8D%B0%20%EC%8A%A4%EC%B9%B4%EC%9D%B4%ED%9E%90%20%EB%B6%80%EC%97%ACCC,high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,105000,130000,,,105000,130000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=450&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-98e3f829ab99,힐마루컨트리클럽 (대중제),힐마루CC(퍼블릭),창녕군 장마면 영산계성로 469-195,055-520-8000,http://www.hillmaru.com/,"참고 요금 평일 110,000원~120,000원",110000,120000,reservation_reference,8,93.6,https://search.naver.com/search.naver?where=nexearch&query=%ED%9E%90%EB%A7%88%EB%A3%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,110000,120000,,,110000,120000,1,0,0,1,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=1&roundDay=2026-06-29&entry_path=SC,2026-06-26T11:33:51.186Z,teescanner
gc-43ee7ee149ba,오션힐스포항C.C (대중제),오션힐스 포항CC,경상북도 포항시 북구 송라면 대전길 7,054-262-9988,https://oceanhills.com/,"참고 요금 평일 140,000원 / 주말 230,000원",140000,230000,reservation_reference,4,91.5,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EC%85%98%ED%9E%90%EC%8A%A4%ED%8F%AC%ED%95%ADC.C%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,140000,140000,230000,230000,140000,230000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=122&roundDay=2026-06-30&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
gc-7ef835cc44ce,엘리시안제주 (회원제),엘리시안제주(회원제),제주특별자치도 제주시 평화로 1738-116,064-798-7000,https://www.elysian.co.kr/intro,"참고 요금 평일 130,000원~157,000원 / 주말 175,000원~197,000원",130000,197000,reservation_reference,5.2,92.1,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%98%EB%A6%AC%EC%8B%9C%EC%95%88%EC%A0%9C%EC%A3%BC%20(%ED%9A%8C%EC%9B%90%EC%A0%9C),high,y,TeeScanner 예약가 기준으로 보강함. 날짜/시간/예약 채널에 따라 요금이 달라질 수 있음. 네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,130000,157000,175000,197000,130000,197000,2,0,0,2,loaded_slots,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=132&roundDay=2026-06-29&entry_path=SC,,teescanner
gc-57d2cac587d2,에버리스CC (대중제),에버리스GR(퍼블릭),제주특별자치도 제주시 평화로 1693-75,064-795-5000,https://www.shinangolf.com/,"참고 요금 평일 140,000원 / 주말 170,000원",140000,170000,reservation_reference,4.2,91.6,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EB%B2%84%EB%A6%AC%EC%8A%A4CC%20(%EB%8C%80%EC%A4%91%EC%A0%9C),high,y,네이버 예약/홈페이지 참고 요금으로 보강함. 날짜/시간/예약 조건에 따라 요금이 달라질 수 있음.,,,140000,140000,170000,170000,140000,170000,2,0,0,2,manual_entry,accept_price,https://www.teescanner.com/booking/detail?tab=teetime&golfclub_seq=135&roundDay=2026-06-28&entry_path=SC,2026-06-26T11:33:51.189Z,teescanner
